HOLE-ID	X	Y	Z	LENGTH
AD02-1	555590	7131440	0	95
AD02-2	555635	7131505	0	80
AD08-1	556750	7134175	0	94
BH-1	559000	7131500	0	72.2
DO18-93-01	557237	7134673	432	276
DO18-93-02	557237	7134673	432	167
DO18-93-03	557055	7134338	426	163.8
DO18-93-04	557079	7134493	426	179
DO18-93-05	557754	7134588	438	101.1
DO18-93-06	557224	7134726	431	200
DO18-93-07	557225	7134621	431	125
DO18-93-08	557242	7134649	432	196
DO18-93-10	557176	7134353	426	77
DO18-93-11	557286	7134620	425	201
DO27-93-01	557213	7133977	418	71
DO27-93-02	557287	7133965	418	89
DO27-93-03	557415	7133862	420	112
DO27-93-04	557174	7134050	418	59
DO27-93-05	557208	7133853	418	143
DO27-93-06	557094	7133839	418	54.5
DO27-93-07	557209	7133744	418	200
DO27-93-08	557209	7133744	418	67
DO27-93-09	557222	7133653	418	140
DO27-93-10	557121	7133640	418	125
DO27-93-11	557136	7133541	418	29
DO27-93-12	557020	7133626	418	44
DO27-93-13	557235	7133555	418	36
DO27-93-14	557270	7133661	418	77
DO27-93-15	557307	7133769	418	146
DO27-93-16	557133	7133742	418	215
DO27-93-17	557187	7133902	418	122
DO27-93-18	557262	7133913	418	110
DO27-93-19	557320	7133870	418	155
DO27-93-20	557164	7133697	418	161.5
DO27-93-21	557082	7133736	418	110
DO27-93-22	557138	7133957	418	198
DO27-93-23	557434	7133938	420	85
DO27-93-24	557434	7133938	420	181
DO27-93-25	557434	7133938	420	182
DO27-93-26	557434	7133938	420	308
DO27-93-27	557436	7133937	420	239
DO27-93-28	557436	7133939	420	158
DO27-93-29	557289	7134270	419	122
DO27-93-30	557286	7134270	419	101
DO27-93-31	557357	7134139	418	273
DO27-93-32	557404	7133805	420	132.5
DO27-93-33	557357	7134140	418	71
DO27-93-34	557404	7133805	420	113
DO27-93-35	557190	7134256	418	93.5
DO27-93-36	557357	7134140	418	203
DO27-93-37	557357	7134140	418	106.5
DO27-93-38	557357	7134140	418	32.5
DO27-93-39	557357	7134140	418	198
DO27-93-40	557407	7133986	419	170
DO27-93-41	557406	7133986	419	182
DO27-93-42	557404	7133984	419	200
DO27-93-43	557105	7134187	418	167
DO27-93-44	557416	7133935	419	155
DO28-1	559875	7134300	0	38
DO29-1	555367	7132050	0	59
DO29-2	555367	7131980	0	125
DO29N-3	555387	7132625	0	47
DO29N-5	555425	7132600	0	98
DO29S-4	555387	7132140	0	80
DO30-1	552650	7132775	0	105.2
DO32-1	551880	7136790	0	125
DO32-2	551825	7136730	0	110
DO64-1	556230	7131760	0	55
BH-2	558880	7131500	0	167
DO18-94-12	557258	7134492	425	36.4
DO18-94-13	557260	7134584	0	180.7
DO28-2	559825	7134610	0	176
DO28-3	559815	7134570	0	34
DO32-3	551750	7136625	0	70
DO18-96-LD1	557241	7134668	432	203.3
DO29N-6	555387	7132625	0	107
WO11-1	553888	7132968	0	85
WO12-1	553920	7133765	0	32.6
WO34-1	552692	7132940	0	134.7
WO9-1	555245	7132964	0	86.56
DO18-05-01	557243	7134702	426	181
DO18-05-02	557243	7134702	426	151
DO18-05-03	557243	7134702	426	117
DO18-05-04	557235	7134600	424	167
DO18-05-05	557235	7134600	424	112
DO18-05-06	557219	7134666	424	206
DO18-05-07	557219	7134666	424	240
DO18-05-08	557087	7134464	419	179
DO27-05-01	557187	7133758	418	58.52
DO27-05-02	557191	7133755	418	459.5
DO27-05-03	557165	7133682	418	230
DO27-05-04	557425	7133835	420	112.5
DO27-05-05	557425	7133835	420	99.8
DO27-05-06	557425	7133835	420	101
DO27-05-07	557425	7133835	420	218
DO27-05-08	557392	7133834	419	290
DO27-05-09	557392	7133834	419	155
DO27-05-10	557392	7133834	419	140
DO27-05-11	557400	7133913	419	374
DO27-05-12	557345	7134210	419	65
DO27-05-RC01	557200	7133795	418	209
DO27-05-RC02	557180	7133745	418	124
DO27-05-RC03	557160	7133700	418	190
DO27-05-RC04	557235	7133755	418	93
DO27-05-RC05	557235	7133795	418	83
DO27-05-RC06	557235	7133835	418	77
G031-05-01	557776	7133078	430	150
W014-05-01	553206	7130348	420	30
DO18-06-09	557188	7134613	423	301.5
DO18-06-10	557290	7134560	426	291.2
DO18-06-11	557237	7134556	419	286
DO18-06-12A	557261	7134739	428	6
