X	Y	Z	LENGTH
555590	7131440	0	95
555635	7131505	0	80
556750	7134175	0	94
559000	7131500	0	72.2
557237	7134673	432	276
557237	7134673	432	167
557055	7134338	426	163.8
557079	7134493	426	179
557754	7134588	438	101.1
557224	7134726	431	200
557225	7134621	431	125
557242	7134649	432	196
557176	7134353	426	77
557286	7134620	425	201
557213	7133977	418	71
557287	7133965	418	89
557415	7133862	420	112
557174	7134050	418	59
557208	7133853	418	143
557094	7133839	418	54.5
557209	7133744	418	200
557209	7133744	418	67
557222	7133653	418	140
557121	7133640	418	125
557136	7133541	418	29
557020	7133626	418	44
557235	7133555	418	36
557270	7133661	418	77
557307	7133769	418	146
557133	7133742	418	215
557187	7133902	418	122
557262	7133913	418	110
557320	7133870	418	155
557164	7133697	418	161.5
557082	7133736	418	110
557138	7133957	418	198
557434	7133938	420	85
557434	7133938	420	181
557434	7133938	420	182
557434	7133938	420	308
557436	7133937	420	239
557436	7133939	420	158
557289	7134270	419	122
557286	7134270	419	101
557357	7134139	418	273
557404	7133805	420	132.5
557357	7134140	418	71
557404	7133805	420	113
557190	7134256	418	93.5
557357	7134140	418	203
557357	7134140	418	106.5
557357	7134140	418	32.5
557357	7134140	418	198
557407	7133986	419	170
557406	7133986	419	182
557404	7133984	419	200
557105	7134187	418	167
557416	7133935	419	155
559875	7134300	0	38
555367	7132050	0	59
555367	7131980	0	125
555387	7132625	0	47
555425	7132600	0	98
555387	7132140	0	80
552650	7132775	0	105.2
551880	7136790	0	125
551825	7136730	0	110
556230	7131760	0	55
558880	7131500	0	167
557258	7134492	425	36.4
557260	7134584	0	180.7
559825	7134610	0	176
559815	7134570	0	34
551750	7136625	0	70
557241	7134668	432	203.3
555387	7132625	0	107
553888	7132968	0	85
553920	7133765	0	32.6
552692	7132940	0	134.7
555245	7132964	0	86.56
557243	7134702	426	181
557243	7134702	426	151
557243	7134702	426	117
557235	7134600	424	167
557235	7134600	424	112
557219	7134666	424	206
557219	7134666	424	240
557087	7134464	419	179
557187	7133758	418	58.52
557191	7133755	418	459.5
557165	7133682	418	230
557425	7133835	420	112.5
557425	7133835	420	99.8
557425	7133835	420	101
557425	7133835	420	218
557392	7133834	419	290
557392	7133834	419	155
557392	7133834	419	140
557400	7133913	419	374
557345	7134210	419	65
557200	7133795	418	209
557180	7133745	418	124
557160	7133700	418	190
557235	7133755	418	93
557235	7133795	418	83
557235	7133835	418	77
557776	7133078	430	150
553206	7130348	420	30
557188	7134613	423	301.5
557290	7134560	426	291.2
557237	7134556	419	286
557261	7134739	428	6
557261	7134740	428	299
557281	7134669	426	295
557300	7134615	427	299
557340	7133895	418	140
557340	7133850	418	178.6
557305	7133855	418	212.13
557235	7133785	418	305
557270	7133855	418	203
557200	7133707	418	250
557235	7133739	418	251
557164	7133714	418	308
557202	7133666	418	258.5
557155	7133830	418	269
557098	7133751	418	298.4
557100	7133700	418	299.8
557347	7134150	418	34.4
557392	7133883	418	215.1
557390	7133810	419	196.6
557425	7133835	420	197
557426	7133808	420	176
557410	7133825	420	194
557467	7133835	422	355
557350	7133823	418	343.6
557366	7134147	419	158.8
557176	7134404	420	145
557401	7134101	423	163
557422	7134051	423	219
556915	7133890	428	484
556833	7133673	435	349.2
557060	7133386	421	502
557274	7133436	418	352
557474	7133667	421	550.2
557013	7134004	420	427
557403	7134026	418	329
557350	7133665	418	149.1
557400	7133848	419	120.6
556972	7133805	425	100.8
557340	7133900	418	84.75
557185	7133785	418	403
557271	7133869	418	228
557327	7133844	418	245.5
557281	7133824	418	53
557253	7133824	418	180.13
557205	7133746	418	314
557195	7133830	418	240.59
557200	7133680	418	383
557150	7133787	418	145
557150	7133750	418	38
557162	7133716	418	109
557411	7133825	420	98.31
557405	7133802	420	119.45
557170	7133800	417	275
557150	7133725	417	276
557300	7133990	417	199
557267	7133563	417	142
557030	7133585	417	208
557012	7133675	417	215.2
557236	7133990	417	250
557012	7133675	417	248
557152	7133536	417	287
557117	7133944	417	241.7
557152	7133536	417	286
557117	7133944	417	280
557394	7133755	418	265
557395	7133754	418	233
557384	7133700	418	240
557384	7133701	419	381
557002	7133963	420	496
556981	7133765	423	374
556986	7133875	419	451
556982	7133765	422	419
557375	7133665	419	464.6
557353	7133500	418	545
557375	7133665	418	271
557428	7133772	420	160
557200	7133774	419	256.01
557225	7133824	417	258.5
557164	7133750	417	127.83
557300	7133875	417	163.14
557300	7133825	417	280.83
557275	7133850	417	150.69
557250	7133800	417	192.8
557225	7133850	417	175.01
557225	7133800	417	275.22
557225	7133775	417	275.3
557225	7133725	417	160.06
557227	7133698	417	158.76
557200	7133724	417	185.97
557175	7133800	417	216.39
557175	7133775	417	266.57
557176	7133723	417	277.12
557175	7133700	417	295.05
557175	7133650	417	136.59
557150	7133675	417	277.01
557178	7133824	417	256.45
557125	7133751	417	284.04
557125	7133700	417	275.71
557390	7133843	420	104.59
557391	7133826	419	118.25
557394	7133811	420	160.44
557370	7133805	419	102.13
558621	7132422	423	108.33
555277	7133294	457	123
555277	7133294	457	134
