HOLE-ID YEAR X Y Z AZM DIP LENGTH TYPE KIMBERLITE
AD02-1 1993 555590 7131440 NA 0 -90 95.00 Core AD-02
AD02-2 1993 555635 7131505 NA 0 -90 80.00 Core AD-02
AD08-1 1993 556750 7134175 NA 0 -90 94.00 Core None
BH-1 1993 559000 7131500 NA 0 -90 72.20 Core None
DO18-93-01 1993 557237 7134673 432 0 -90 276.00 Core DO-18
DO18-93-02 1993 557237 7134673 432 0 -90 167.00 Core DO-18
DO18-93-03 1993 557055 7134338 426 90 -50 163.80 Core DO-18
DO18-93-04 1993 557079 7134493 426 20 -50 179.00 Core DO-18
DO18-93-05 1993 557754 7134588 438 0 -90 101.10 Core DO-18
DO18-93-06 1993 557224 7134726 431 360 -50 200.00 Core DO-18
DO18-93-07 1993 557225 7134621 431 180 -50 125.00 Core DO-18
DO18-93-08 1993 557242 7134649 432 90 -50 196.00 Core DO-18
DO18-93-10 1993 557176 7134353 426 0 -90 77.00 Core DO-18
DO18-93-11 1993 557286 7134620 425 180 -50 201.00 Core DO-18
DO27-93-01 1993 557213 7133977 418 0 -90 71.00 Core DO-27
DO27-93-02 1993 557287 7133965 418 0 -90 89.00 Core DO-27
DO27-93-03 1993 557415 7133862 420 0 -90 112.00 Core DO-27
DO27-93-04 1993 557174 7134050 418 0 -90 59.00 Core DO-27
DO27-93-05 1993 557208 7133853 418 0 -90 143.00 Core DO-27
DO27-93-06 1993 557094 7133839 418 0 -90 54.50 Core DO-27
DO27-93-07 1993 557209 7133744 418 0 -90 200.00 Core DO-27
DO27-93-08 1993 557209 7133744 418 270 -50 67.00 Core DO-27
DO27-93-09 1993 557222 7133653 418 0 -90 140.00 Core DO-27
DO27-93-10 1993 557121 7133640 418 0 -90 125.00 Core DO-27
DO27-93-11 1993 557136 7133541 418 0 -90 29.00 Core DO-27
DO27-93-12 1993 557020 7133626 418 0 -90 44.00 Core DO-27
DO27-93-13 1993 557235 7133555 418 0 -90 36.00 Core DO-27
DO27-93-14 1993 557270 7133661 418 0 -90 77.00 Core DO-27
DO27-93-15 1993 557307 7133769 418 0 -90 146.00 Core DO-27
DO27-93-16 1993 557133 7133742 418 0 -90 215.00 Core DO-27
DO27-93-17 1993 557187 7133902 418 0 -90 122.00 Core DO-27
DO27-93-18 1993 557262 7133913 418 0 -90 110.00 Core DO-27
DO27-93-19 1993 557320 7133870 418 0 -90 155.00 Core DO-27
DO27-93-20 1993 557164 7133697 418 0 -90 161.50 Core DO-27
DO27-93-21 1993 557082 7133736 418 0 -90 110.00 Core DO-27
DO27-93-22 1993 557138 7133957 418 110 -60 198.00 Core DO-27
DO27-93-23 1993 557434 7133938 420 0 -90 85.00 Core DO-27
DO27-93-24 1993 557434 7133938 420 0 -80 181.00 Core DO-27
DO27-93-25 1993 557434 7133938 420 0 -50 182.00 Core DO-27
DO27-93-26 1993 557434 7133938 420 300 -50 308.00 Core DO-27
DO27-93-27 1993 557436 7133937 420 180 -50 239.00 Core DO-27
DO27-93-28 1993 557436 7133939 420 90 -50 158.00 Core DO-27
DO27-93-29 1993 557289 7134270 419 0 -90 122.00 Core DO-27
DO27-93-30 1993 557286 7134270 419 270 -50 101.00 Core DO-27
DO27-93-31 1993 557357 7134139 418 220 -50 273.00 Core DO-27
DO27-93-32 1993 557404 7133805 420 0 -90 132.50 Core DO-27
