HOLE-ID	FROM	TO	LITHO
DO27-05-01	56.5	58.52	Kimb-1
DO27-05-02	56	459.5	Kimb-1
DO27-05-03	59	230	Kimb-1
DO27-05-04	19	63.4	Kimb-1
DO27-05-04	63.4	112.5	Kimb-3
DO27-05-05	21.8	85.8	Kimb-1
DO27-05-06	37	49.5	Kimb-1
DO27-05-06	49.5	82.9	Kimb-3
DO27-05-07	20.5	104.5	Kimb-1
DO27-05-07	104.5	131	Kimb-3
DO27-05-07	138.7	218	Kimb-2
DO27-05-08	20.8	290	Kimb-1
DO27-05-09	9	95.8	Kimb-1
DO27-05-09	95.8	117	Kimb-3
DO27-05-09	125.4	155	Kimb-2
DO27-05-10	17	100.3	Kimb-1
DO27-05-10	100.3	123	Kimb-3
DO27-05-11	44.5	223.5	Kimb-1
DO27-05-12	36	36.7	Kimb-2
DO27-05-RC1	59	209	Kimb-1
DO27-05-RC2	56.5	60	Kimb-1
DO27-05-RC2	60	124	Kimb-1
DO27-05-RC3	60	190	Kimb-1
DO27-05-RC4	57	62	Kimb-1
DO27-05-RC4	62	93	Kimb-1
DO27-05-RC5	60	61	Kimb-1
DO27-05-RC5	61	83	Kimb-1
DO27-05-RC6	54	77	Kimb-1
DO27-06-13	35.4	86.3	Kimb-1
DO27-06-13	86.3	135.4	Kimb-3
DO27-06-13	135.4	140	Kimb-1
DO27-06-14	35.4	122.6	Kimb-1
DO27-06-14	122.6	145.1	Kimb-3
DO27-06-14	145.1	178.6	Kimb-2
DO27-06-15	45.5	171.8	Kimb-1
DO27-06-15	171.8	203.5	Kimb-2
DO27-06-15	203.5	212.1	Kimb-1
DO27-06-16	56	305	Kimb-1
DO27-06-17	47.5	174.3	Kimb-1
DO27-06-17	174.3	203	Kimb-2
DO27-06-18	54.1	250	Kimb-1
DO27-06-19	55.9	251	Kimb-1
DO27-06-20	54.7	308	Kimb-1
DO27-06-21	46.6	258.5	Kimb-1
DO27-06-22	47	269	Kimb-1
DO27-06-23	57	298.4	Kimb-1
DO27-06-24	53.2	299.8	Kimb-1
DO27-06-25	13.7	34.4	Kimb-1
DO27-06-26	34	72.7	Kimb-1
DO27-06-26	72.7	86.2	Kimb-1
DO27-06-26	121	138.7	Kimb-2
DO27-06-26	174.6	178.3	Kimb-2
DO27-06-27	32.5	100	Kimb-1
DO27-06-27	100	135.3	Kimb-3
DO27-06-27	135.3	187.3	Kimb-2
DO27-06-28	28	75.3	Kimb-1
DO27-06-28	75.3	90	Kimb-3
DO27-06-28	119.5	165	Kimb-2
DO27-06-29	16.7	66	Kimb-1
DO27-06-29	66	91.8	Kimb-3
DO27-06-29	115.5	164.6	Kimb-2
DO27-06-30	10	78.5	Kimb-1
DO27-06-30	78.5	108	Kimb-3
DO27-06-30	128.2	175.3	Kimb-2
DO27-06-31	31	126.9	Kimb-1
DO27-06-31	126.9	214.1	Kimb-3
DO27-06-31	214.1	236.5	Kimb-2
DO27-06-31	247	352	Kimb-1
DO27-06-32	31.6	97.4	Kimb-1
DO27-06-32	97.4	146.3	Kimb-3
DO27-06-32	146.3	204.7	Kimb-2
DO27-06-32	204.7	256.4	Kimb-1
DO27-06-32	302.1	343.6	Kimb-2
DO27-07-33	61.5	88.5	Kimb-1
DO27-07-33	88.5	275	Kimb-1
DO27-07-34	56.3	276	Kimb-1
DO27-07-36	66.4	92.4	Kimb-1
DO27-07-36	171.1	195.3	Kimb-1
DO27-07-36	195.3	199	Kimb-1
DO27-07-37	119.5	142	Kimb-1
DO27-07-38	148	208	Kimb-1
DO27-07-39	89	112.9	Kimb-1
DO27-07-39	112.9	215.2	Kimb-1
DO27-07-40	60.2	85.2	Kimb-1
DO27-07-40	199	212.4	Kimb-2
DO27-07-40	212.4	232	Kimb-1
DO27-07-40	232	250	Kimb-1
DO27-07-41	166.4	248	Kimb-1
DO27-07-42	228.7	287	Kimb-1
DO27-07-43	179.6	220.8	Kimb-1
DO27-07-43	220.8	241.7	Kimb-1
DO27-07-44	146.1	159.3	Kimb-1
DO27-07-44	159.3	286	Kimb-1
DO27-07-45	237.9	265	Kimb-1
DO27-07-45	265	280	Kimb-1
DO27-07-46	53.5	66	Kimb-1
DO27-07-46	66	257.9	Kimb-1
DO27-07-46	257.9	265	Kimb-1
DO27-07-47	123.6	199	Kimb-1
DO27-07-47	199	233	Kimb-1
DO27-07-48	223.6	240	Kimb-1
DO27-07-49	155.6	342.3	Kimb-1
DO27-07-50	276.5	476.6	Kimb-1
DO27-07-51	295	374	Kimb-1
DO27-07-52	187	425.5	Kimb-1
DO27-07-53	171	385.2	Kimb-1
DO27-07-54	167	440	Kimb-1
DO27-07-55	419	545	Kimb-1
DO27-07-56	239	271	Kimb-1
DO27-07-57	24	160	Kimb-1
DO27-93-01	41	53	Kimb-1
DO27-93-02	49	56.5	Kimb-1
DO27-93-03	26.4	80	Kimb-1
DO27-93-05	53	61.7	KIMB-1
DO27-93-05	62.2	138	Kimb-1
DO27-93-05	139.9	143	KIMB-2
DO27-93-07	58.8	200	Kimb-1
DO27-93-09	42	110.4	Kimb-1
DO27-93-10	44	101.5	Kimb-1
DO27-93-12	26.1	26.3	KIMB-2
DO27-93-14	37.2	41.6	KIMB-1
DO27-93-15	47	52.7	Kimb-1
DO27-93-15	85.8	86	KIMB-2
DO27-93-16	56	215	Kimb-1
DO27-93-17	53	84.5	Kimb-1
DO27-93-18	48	77.9	Kimb-1
DO27-93-19	49	145	Kimb-1
DO27-93-19	145	153	KIMB-1
DO27-93-19	153	155	KIMB-2
DO27-93-20	56	73.2	Kimb-1
DO27-93-20	73.2	161.5	Kimb-1
DO27-93-21	53	78	Kimb-1
DO27-93-22	95.5	100.3	KIMB-2
DO27-93-22	100.7	111.8	KIMB-2
DO27-93-22	139.1	142.2	KIMB-2
DO27-93-22	147	161.35	KIMB-2
DO27-93-22	170.7	184.6	KIMB-2
DO27-93-23	42.5	51.3	Kimb-1
DO27-93-23	51.3	52	Kimb-1
DO27-93-23	52	55.3	KIMB-2
DO27-93-23	77.4	85	KIMB-2
DO27-93-24	33.5	52.8	Kimb-1
DO27-93-24	77.1	78.2	KIMB-2
DO27-93-24	78.2	104.1	KIMB-2
DO27-93-24	119.9	142.7	KIMB-2
DO27-93-25	35	58	Kimb-1
DO27-93-25	99.2	130.8	KIMB-2
DO27-93-25	140.3	164	KIMB-2
DO27-93-26	45.7	57.2	Kimb-1
DO27-93-26	57.2	60	Kimb-1
DO27-93-26	60	71	Kimb-1
DO27-93-26	71.4	81.7	KIMB-1
DO27-93-26	83.7	90	KIMB-1
DO27-93-26	135.1	136.3	KIMB-2
DO27-93-26	160.6	166.1	KIMB-1
DO27-93-26	166.1	166.9	KIMB-1
DO27-93-26	178	186.1	KIMB-1
DO27-93-26	186.1	189.1	KIMB-1
DO27-93-26	189.1	192.2	KIMB-1
DO27-93-26	192.2	194	KIMB-1
DO27-93-26	194	194.9	KIMB-1
DO27-93-27	49.7	78.7	KIMB-1
DO27-93-27	141.9	207.8	KIMB-2
DO27-93-28	32	54.8	KIMB-1
DO27-93-28	83.6	114.6	KIMB-2
DO27-93-29	92.3	92.6	KIMB-2
DO27-93-30	43.8	76.6	KIMB-1
DO27-93-31	15.6	45.2	KIMB-1
DO27-93-31	85	97.7	KIMB-1
DO27-93-31	119.5	127.8	KIMB-2
DO27-93-31	128.2	145	KIMB-2
DO27-93-31	145	175	KIMB-2
DO27-93-31	178.1	184.6	KIMB-2
DO27-93-32	29	32	KIMB-1
DO27-93-32	32	38.2	KIMB-1
DO27-93-32	38.2	102.6	Kimb-1
DO27-93-32	102.6	121.7	KIMB-1
DO27-93-32	121.7	132.5	KIMB-1
DO27-93-33	16.1	71	KIMB-1
DO27-93-34	35	56.6	KIMB-2
DO27-93-35	33.9	44.1	KIMB-1
DO27-93-35	44.9	48.2	KIMB-1
DO27-93-35	48.2	61.4	KIMB-1
DO27-93-35	61.4	71.2	KIMB-1
DO27-93-36	15.8	97.4	KIMB-1
DO27-93-36	97.4	103.8	KIMB-1
DO27-93-36	106.6	121.4	KIMB-2
DO27-93-37	8.7	20.4	KIMB-1
DO27-93-37	20.4	23.5	KIMB-1
DO27-93-37	23.5	43.5	KIMB-1
DO27-93-37	82.8	84.3	KIMB-2
DO27-93-37	90.6	92.6	KIMB-2
DO27-93-38	17.4	32.5	KIMB-1
DO27-93-39	17.4	44.1	KIMB-1
DO27-93-39	44.1	49.2	KIMB-1
DO27-93-39	49.2	51.4	KIMB-1
DO27-93-39	70.7	88.4	KIMB-1
DO27-93-39	103.1	108.2	KIMB-1
DO27-93-39	113.9	114.7	KIMB-2
DO27-93-40	9.1	46.2	Kimb-1
DO27-93-40	81.4	100.5	KIMB-2
DO27-93-40	100.5	103.3	KIMB-2
