HOLE-ID	FROM	TO	LITHO
DO27-05-01	56.5	58.52	1
DO27-05-02	56	459.5	1
DO27-05-03	59	230	1
DO27-05-04	19	63.4	1
DO27-05-04	63.4	112.5	3
DO27-05-05	21.8	85.8	1
DO27-05-06	37	49.5	1
DO27-05-06	49.5	82.9	3
DO27-05-07	20.5	104.5	1
DO27-05-07	104.5	131	3
DO27-05-07	138.7	218	2
DO27-05-08	20.8	290	1
DO27-05-09	9	95.8	1
DO27-05-09	95.8	117	3
DO27-05-09	125.4	155	2
DO27-05-10	17	100.3	1
DO27-05-10	100.3	123	3
DO27-05-11	44.5	223.5	1
DO27-05-12	36	36.7	2
DO27-05-RC1	59	209	1
DO27-05-RC2	56.5	60	1
DO27-05-RC2	60	124	1
DO27-05-RC3	60	190	1
DO27-05-RC4	57	62	1
DO27-05-RC4	62	93	1
DO27-05-RC5	60	61	1
DO27-05-RC5	61	83	1
DO27-05-RC6	54	77	1
DO27-06-13	35.4	86.3	1
DO27-06-13	86.3	135.4	3
DO27-06-13	135.4	140	1
DO27-06-14	35.4	122.6	1
DO27-06-14	122.6	145.1	3
DO27-06-14	145.1	178.6	2
DO27-06-15	45.5	171.8	1
DO27-06-15	171.8	203.5	2
DO27-06-15	203.5	212.1	1
DO27-06-16	56	305	1
DO27-06-17	47.5	174.3	1
DO27-06-17	174.3	203	2
DO27-06-18	54.1	250	1
DO27-06-19	55.9	251	1
DO27-06-20	54.7	308	1
DO27-06-21	46.6	258.5	1
DO27-06-22	47	269	1
DO27-06-23	57	298.4	1
DO27-06-24	53.2	299.8	1
DO27-06-25	13.7	34.4	1
DO27-06-26	34	72.7	1
DO27-06-26	72.7	86.2	1
DO27-06-26	121	138.7	2
DO27-06-26	174.6	178.3	2
DO27-06-27	32.5	100	1
DO27-06-27	100	135.3	3
DO27-06-27	135.3	187.3	2
DO27-06-28	28	75.3	1
DO27-06-28	75.3	90	3
DO27-06-28	119.5	165	2
DO27-06-29	16.7	66	1
DO27-06-29	66	91.8	3
DO27-06-29	115.5	164.6	2
DO27-06-30	10	78.5	1
DO27-06-30	78.5	108	3
DO27-06-30	128.2	175.3	2
DO27-06-31	31	126.9	1
DO27-06-31	126.9	214.1	3
DO27-06-31	214.1	236.5	2
DO27-06-31	247	352	1
DO27-06-32	31.6	97.4	1
DO27-06-32	97.4	146.3	3
DO27-06-32	146.3	204.7	2
DO27-06-32	204.7	256.4	1
DO27-06-32	302.1	343.6	2
DO27-07-33	61.5	88.5	1
DO27-07-33	88.5	275	1
DO27-07-34	56.3	276	1
DO27-07-36	66.4	92.4	1
DO27-07-36	171.1	195.3	1
DO27-07-36	195.3	199	1
DO27-07-37	119.5	142	1
DO27-07-38	148	208	1
DO27-07-39	89	112.9	1
DO27-07-39	112.9	215.2	1
DO27-07-40	60.2	85.2	1
DO27-07-40	199	212.4	2
DO27-07-40	212.4	232	1
DO27-07-40	232	250	1
DO27-07-41	166.4	248	1
DO27-07-42	228.7	287	1
DO27-07-43	179.6	220.8	1
DO27-07-43	220.8	241.7	1
DO27-07-44	146.1	159.3	1
DO27-07-44	159.3	286	1
DO27-07-45	237.9	265	1
DO27-07-45	265	280	1
DO27-07-46	53.5	66	1
DO27-07-46	66	257.9	1
DO27-07-46	257.9	265	1
DO27-07-47	123.6	199	1
DO27-07-47	199	233	1
DO27-07-48	223.6	240	1
DO27-07-49	155.6	342.3	1
